,VECM_RMSE,Transformer_RMSE,VECM_MAE,Transformer_MAE,VECM_MAPE,Transformer_MAPE,RMSE_Diff,MAE_Diff,MAPE_Diff,RMSE_Improvement_%,MAE_Improvement_%,MAPE_Improvement_%
EURUSD,0.0605062502944834,0.0140880592491905,0.0522856014772082,0.0115202928785586,4.779132401865882,1.0497438732646125,0.0464181910452929,0.040765308598649595,3.729388528601269,76.71635710257364,77.96660542658114,78.03484429820841
GBPUSD,0.1047927179154883,0.01286752600466,0.0907287863279467,0.0106720779705402,6.889496103725666,0.8439769677507829,0.0919251919108283,0.0800567083574065,6.0455191359748826,87.72097311662705,88.2373848450203,87.74980121848996
USDJPY,32.30368099265467,3.3308828377211626,27.193325398770305,2.658379773221495,18.855639048278107,1.832782374468111,28.972798154933507,24.53494562554881,17.022856673809997,89.68884431938716,90.22414605702579,90.2799243781903
